team,group,fifa_rank,dark_horse_score,avg_gf,avg_ga
Bosnia and Herzegovina,B,44,0.8454591372444252,1.3333,1.3333
Ghana,L,46,0.8287863822261553,1.2727,1.5455
New Zealand,G,47,0.7244789279422937,0.6667,0.6667
Sweden,F,30,0.6650337490016335,1.2,0.8
Cote dIvoire,E,28,0.627277319062607,1.3333,1.3333
South Africa,A,39,0.6249012549918321,1.0,1.6667
Tunisia,F,34,0.5745799688454014,1.0,1.5
Saudi Arabia,H,40,0.5444822687338069,0.8333,2.0
Paraguay,D,32,0.5251631818181818,0.6,0.4
Norway,I,27,0.48826825866804696,1.02,1.48
Czech Republic,A,31,0.4879567015503552,0.9,1.6
Scotland,C,33,0.48780092299150934,0.84,1.66
DR Congo,K,35,0.48764514443266355,0.78,1.72
Curacao,E,36,0.4875672551532405,0.75,1.75
Iraq,I,38,0.48741147659439465,0.69,1.81
Cape Verde,H,41,0.4871778087561258,0.6,1.9
Uzbekistan,K,42,0.48709991947670295,0.57,1.93
Jordan,J,43,0.48702203019727996,0.54,1.96
Haiti,C,45,0.4868662516384341,0.48,2.02
Turkey,D,48,0.4866325838001653,0.39,2.11
Qatar,B,37,0.29286282793032725,0.3333,2.3333
Canada,B,26,0.25955282793032725,0.6667,2.3333
Panama,L,29,0.15759909090909088,0.6667,3.6667
