team,fifa_rank,rank_score
Mexico,13,0.07692307692307693
South Africa,57,0.017543859649122806
South Korea,18,0.05555555555555555
Czech Republic,41,0.024390243902439025
Canada,48,0.020833333333333332
Bosnia and Herzegovina,61,0.01639344262295082
Qatar,50,0.02
Switzerland,20,0.05
Brazil,4,0.25
Morocco,11,0.09090909090909091
Haiti,90,0.011111111111111112
Scotland,38,0.02631578947368421
United States,16,0.0625
Paraguay,60,0.016666666666666666
Australia,22,0.045454545454545456
Turkey,37,0.02702702702702703
Germany,10,0.1
Cote dIvoire,47,0.02127659574468085
Thailand,95,0.010526315789473684
Chile,29,0.034482758620689655
Spain,8,0.125
Egypt,33,0.030303030303030304
Tunisia,62,0.016129032258064516
Costa Rica,49,0.02040816326530612
England,5,0.2
Croatia,7,0.14285714285714285
Ghana,61,0.01639344262295082
Panama,44,0.022727272727272728
France,2,0.5
Senegal,18,0.05555555555555555
Iraq,156,0.00641025641025641
Norway,45,0.022222222222222223
Argentina,1,1.0
Algeria,52,0.019230769230769232
Austria,26,0.038461538461538464
Jordan,96,0.010416666666666666
Portugal,9,0.1111111111111111
DR Congo,77,0.012987012987012988
Uzbekistan,42,0.023809523809523808
Colombia,12,0.08333333333333333
Netherlands,6,0.16666666666666666
Iran,20,0.05
New Zealand,92,0.010869565217391304
Japan,24,0.041666666666666664
Belgium,3,0.3333333333333333
Uruguay,25,0.04
Sweden,28,0.03571428571428571
Saudi Arabia,55,0.01818181818181818
